Neighbourhood,ObjectId
Dovercourt-Wallace Emerson-Junction (93),7717
Islington-City Centre West (14),7721
Taylor-Massey (61),7724
Woburn (137),7728
Lansing-Westgate (38),7733
Islington-City Centre West (14),7734
Islington-City Centre West (14),7735
Bay Street Corridor (76),7736
Roncesvalles (86),7758
Tam O'Shanter-Sullivan (118),7800
Tam O'Shanter-Sullivan (118),7801
Bendale (127),7802
Waterfront Communities-The Island (77),7804
Lansing-Westgate (38),7806
Glenfield-Jane Heights (25),7807
Clairlea-Birchmount (120),7810
Rosedale-Moore Park (98),7812
Clairlea-Birchmount (120),7813
Woburn (137),7815
Willowdale East (51),7822
Church-Yonge Corridor (75),7823
Bedford Park-Nortown (39),7824
Bedford Park-Nortown (39),7825
Kensington-Chinatown (78),7826
Bay Street Corridor (76),7832
Caledonia-Fairbank (109),7834
Clairlea-Birchmount (120),7835
Moss Park (73),7836
Eglinton East (138),7837
Mount Pleasant West (104),7838
North Riverdale (68),7839
North Riverdale (68),7840
Willowdale East (51),7841
Rouge (131),7842
Woburn (137),7843
Yonge-Eglinton (100),7846
Tam O'Shanter-Sullivan (118),7847
Milliken (130),7852
Milliken (130),7853
Westminster-Branson (35),7854
Brookhaven-Amesbury (30),7855
Willowdale East (51),7856
South Parkdale (85),7859
Corso Italia-Davenport (92),7860
Weston (113),7861
Danforth (66),7864
East End-Danforth (62),7865
Annex (95),7866
High Park-Swansea (87),7867
Islington-City Centre West (14),7870
Islington-City Centre West (14),7871
Leaside-Bennington (56),7872
Oakridge (121),7873
Taylor-Massey (61),7874
High Park North (88),7875
Greenwood-Coxwell (65),7876
Tam O'Shanter-Sullivan (118),7877
Weston (113),7892
East End-Danforth (62),7908
University (79),7909
University (79),7910
Church-Yonge Corridor (75),7918
Tam O'Shanter-Sullivan (118),7924
Briar Hill-Belgravia (108),7925
Briar Hill-Belgravia (108),7926
Briar Hill-Belgravia (108),7933
Briar Hill-Belgravia (108),7934
Briar Hill-Belgravia (108),7935
Newtonbrook West (36),7936
Bendale (127),7937
Bendale (127),7938
High Park-Swansea (87),7939
O'Connor-Parkview (54),7965
Downsview-Roding-CFB (26),7971
Thistletown-Beaumond Heights (3),7996
West Humber-Clairville (1),8019
Bendale (127),8020
Malvern (132),8036
Church-Yonge Corridor (75),8052
Greenwood-Coxwell (65),8053
Kensington-Chinatown (78),8054
Guildwood (140),8059
Guildwood (140),8060
West Humber-Clairville (1),8061
York University Heights (27),8067
Eringate-Centennial-West Deane (11),8068
Runnymede-Bloor West Village (89),8075
Oakridge (121),8076
Eglinton East (138),8078
High Park-Swansea (87),8079
Bay Street Corridor (76),8081
Oakridge (121),8088
Don Valley Village (47),8090
Yorkdale-Glen Park (31),8094
East End-Danforth (62),8097
Dovercourt-Wallace Emerson-Junction (93),8098
Dovercourt-Wallace Emerson-Junction (93),8099
Dovercourt-Wallace Emerson-Junction (93),8100
Scarborough Village (139),8105
Bay Street Corridor (76),8106
Agincourt South-Malvern West (128),8107
Roncesvalles (86),8108
Regent Park (72),8109
Dovercourt-Wallace Emerson-Junction (93),8111
Regent Park (72),8112
Waterfront Communities-The Island (77),8115
Runnymede-Bloor West Village (89),8119
Briar Hill-Belgravia (108),8121
East End-Danforth (62),8123
Runnymede-Bloor West Village (89),8124
Trinity-Bellwoods (81),8127
Church-Yonge Corridor (75),8129
Dorset Park (126),8130
North Riverdale (68),8133
Little Portugal (84),8135
Bendale (127),8136
Church-Yonge Corridor (75),8138
Kennedy Park (124),8140
Dorset Park (126),8142
Glenfield-Jane Heights (25),8143
North Riverdale (68),8146
Woburn (137),8147
North Riverdale (68),8151
Bathurst Manor (34),8154
Church-Yonge Corridor (75),8157
North Riverdale (68),8159
West Hill (136),8163
Church-Yonge Corridor (75),8165
South Parkdale (85),8168
Cabbagetown-South St.James Town (71),8172
Blake-Jones (69),8174
Kensington-Chinatown (78),8175
Bayview Woods-Steeles (49),8176
Bayview Woods-Steeles (49),8177
Weston (113),8178
Forest Hill South (101),8179
Humbermede (22),8180
York University Heights (27),8181
Kensington-Chinatown (78),8182
Willowdale West (37),8183
Waterfront Communities-The Island (77),8184
West Humber-Clairville (1),8187
Agincourt South-Malvern West (128),8193
Waterfront Communities-The Island (77),8194
Agincourt South-Malvern West (128),8195
Dovercourt-Wallace Emerson-Junction (93),8196
Humber Summit (21),8197
Black Creek (24),8205
Humewood-Cedarvale (106),8206
Kennedy Park (124),8207
West Humber-Clairville (1),8208
Church-Yonge Corridor (75),8209
North St.James Town (74),8210
North St.James Town (74),8211
North St.James Town (74),8212
North St.James Town (74),8213
Woburn (137),8214
Regent Park (72),8215
Keelesdale-Eglinton West (110),8216
West Humber-Clairville (1),8217
Willowdale East (51),8219
Willowdale East (51),8220
Oakridge (121),8221
Broadview North (57),8222
Bendale (127),8223
York University Heights (27),8224
Rexdale-Kipling (4),8225
Mimico (includes Humber Bay Shores) (17),8226
Bendale (127),8227
Bendale (127),8228
Mount Olive-Silverstone-Jamestown (2),8229
Bay Street Corridor (76),8230
Kensington-Chinatown (78),8231
Newtonbrook East (50),8232
Bay Street Corridor (76),8233
The Beaches (63),8234
Moss Park (73),8235
York University Heights (27),8236
Kingsview Village-The Westway (6),8237
Kingsview Village-The Westway (6),8238
Birchcliffe-Cliffside (122),8239
Weston (113),8240
York University Heights (27),8241
Downsview-Roding-CFB (26),8242
Bendale (127),8243
Glenfield-Jane Heights (25),8244
Dufferin Grove (83),8245
Victoria Village (43),8247
Waterfront Communities-The Island (77),8248
Lansing-Westgate (38),8249
Mount Dennis (115),8250
Kingsway South (15),8251
Clairlea-Birchmount (120),8252
Kensington-Chinatown (78),8253
Trinity-Bellwoods (81),8255
West Humber-Clairville (1),8256
Maple Leaf (29),8257
Elms-Old Rexdale (5),8258
Elms-Old Rexdale (5),8259
Elms-Old Rexdale (5),8260
South Parkdale (85),8261
South Parkdale (85),8262
Waterfront Communities-The Island (77),8263
Caledonia-Fairbank (109),8264
West Humber-Clairville (1),8265
South Parkdale (85),8270
Tam O'Shanter-Sullivan (118),8274
Bendale (127),8277
Moss Park (73),8279
Briar Hill-Belgravia (108),8281
West Humber-Clairville (1),8284
Mount Olive-Silverstone-Jamestown (2),8287
Briar Hill-Belgravia (108),8289
Centennial Scarborough (133),8291
Agincourt North (129),8292
Malvern (132),8377
Weston (113),8380
Dorset Park (126),8381
Mount Olive-Silverstone-Jamestown (2),8382
Mount Olive-Silverstone-Jamestown (2),8385
West Hill (136),8387
Bay Street Corridor (76),8388
Dorset Park (126),8391
Islington-City Centre West (14),8392
Don Valley Village (47),8394
Banbury-Don Mills (42),8395
Dorset Park (126),8398
York University Heights (27),8399
Kensington-Chinatown (78),8401
Banbury-Don Mills (42),8402
Dorset Park (126),8405
Milliken (130),8406
Milliken (130),8407
South Riverdale (70),8408
South Riverdale (70),8409
Yorkdale-Glen Park (31),8412
Elms-Old Rexdale (5),8413
Clanton Park (33),8414
Clanton Park (33),8415
Bay Street Corridor (76),8419
Bay Street Corridor (76),8420
North St.James Town (74),8421
Oakwood Village (107),8425
Oakwood Village (107),8426
Willowdale East (51),8427
Willowdale East (51),8428
University (79),8429
University (79),8430
Elms-Old Rexdale (5),8431
West Hill (136),8432
Yonge-Eglinton (100),8433
Yonge-Eglinton (100),8434
Yonge-Eglinton (100),8435
Yonge-Eglinton (100),8436
Malvern (132),8437
Lansing-Westgate (38),8438
Beechborough-Greenbrook (112),8439
Eringate-Centennial-West Deane (11),8440
West Hill (136),8441
Mount Olive-Silverstone-Jamestown (2),8446
Elms-Old Rexdale (5),8450
Downsview-Roding-CFB (26),8455
Black Creek (24),8462
Black Creek (24),8463
Black Creek (24),8464
Rockcliffe-Smythe (111),8465
Runnymede-Bloor West Village (89),8466
Victoria Village (43),8467
Woburn (137),8469
Morningside (135),8477
West Hill (136),8479
Eglinton East (138),8480
Eglinton East (138),8481
Mount Olive-Silverstone-Jamestown (2),8482
Woburn (137),8483
Highland Creek (134),8488
Woodbine Corridor (64),8489
Bendale (127),8490
Englemount-Lawrence (32),8491
Weston (113),8493
Waterfront Communities-The Island (77),8495
Moss Park (73),8497
Downsview-Roding-CFB (26),8499
Bendale (127),8500
Bendale (127),8501
Bendale (127),8502
Glenfield-Jane Heights (25),8503
Glenfield-Jane Heights (25),8504
Glenfield-Jane Heights (25),8505
Glenfield-Jane Heights (25),8506
Glenfield-Jane Heights (25),8507
Glenfield-Jane Heights (25),8508
Glenfield-Jane Heights (25),8509
Glenfield-Jane Heights (25),8510
Mount Olive-Silverstone-Jamestown (2),8511
Cliffcrest (123),8512
Thorncliffe Park (55),8513
Trinity-Bellwoods (81),8517
Kennedy Park (124),8518
Keelesdale-Eglinton West (110),8519
Woburn (137),8520
Bendale (127),8521
Rockcliffe-Smythe (111),8523
Bendale (127),8531
Bay Street Corridor (76),8532
Ionview (125),8533
Bay Street Corridor (76),8537
West Humber-Clairville (1),8538
Glenfield-Jane Heights (25),8539
Hillcrest Village (48),8540
Hillcrest Village (48),8541
Clanton Park (33),8542
Scarborough Village (139),8543
Scarborough Village (139),8547
Victoria Village (43),8548
Malvern (132),8549
Malvern (132),8550
North St.James Town (74),8551
Bedford Park-Nortown (39),8553
Newtonbrook West (36),8554
Downsview-Roding-CFB (26),8555
Flemingdon Park (44),8558
Blake-Jones (69),8559
Church-Yonge Corridor (75),8560
East End-Danforth (62),8561
East End-Danforth (62),8562
Runnymede-Bloor West Village (89),8563
Black Creek (24),8564
Taylor-Massey (61),8565
Malvern (132),8566
Malvern (132),8567
East End-Danforth (62),8568
East End-Danforth (62),8569
East End-Danforth (62),8570
Mount Olive-Silverstone-Jamestown (2),8571
Oakridge (121),8572
Elms-Old Rexdale (5),8573
Glenfield-Jane Heights (25),8574
Glenfield-Jane Heights (25),8575
West Humber-Clairville (1),8576
West Humber-Clairville (1),8577
West Humber-Clairville (1),8578
Rexdale-Kipling (4),8579
Eringate-Centennial-West Deane (11),8580
Mount Olive-Silverstone-Jamestown (2),8582
Bendale (127),8584
Englemount-Lawrence (32),8587
Bedford Park-Nortown (39),8588
Bendale (127),8592
Agincourt South-Malvern West (128),8593
Kensington-Chinatown (78),8597
Bendale (127),8598
Moss Park (73),8599
